Event.Id,Event.Date,Location,Aircraft.Damage,Make,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Crash.Location,Crash.Country
20170807X20947,2017-08-06,"Hector, MN",Substantial,ROGER M ALLEN,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"44.731111,-94.71194399999999",Minnesota
20170806X32829,2017-08-05,"Pittstown, NJ",Substantial,PIPER,Personal,0.0,2.0,1.0,0.0,VMC,APPROACH,"40.4075,-74.966111",New Jersey
20170807X50008,2017-08-05,"Marion, OH",Substantial,BURKHART GROB FLUGZEUGBAU,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"40.626111,-83.109444",Ohio
20170808X35356,2017-08-04,"Athol, ID",Substantial,RANS,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"47.956944,-116.6775",Idaho
20170804X11340,2017-08-03,"Moab, UT",Substantial,CESSNA,Personal,0.0,1.0,1.0,0.0,VMC,CLIMB,"38.729723,-109.751944",Utah
20170801X65228,2017-08-01,"Phoenix, AZ",Substantial,GRUMMAN,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"33.686665999999995,-112.099722",Arizona
20170803X93923,2017-08-01,"Bullard, TX",Substantial,CESSNA,Instructional,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"32.094722,-95.289722",Texas
20170801X90744,2017-07-31,"Potosi, MO",Substantial,CHAPMAN,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"37.928611,-90.731667",Missouri
20170802X82400,2017-07-31,"Topeka, KS",Destroyed,PIPER,Instructional,2.0,0.0,0.0,0.0,VMC,APPROACH,"39.068611,-95.6225",Kansas
20170731X63342,2017-07-30,"Lawrenceburg, TN",Substantial,JAMES D RIGGS,Personal,0.0,1.0,1.0,0.0,VMC,LANDING,"35.235277,-87.258333",Tennessee
20170731X62530,2017-07-30,"Danbury, CT",Substantial,CESSNA,Personal,1.0,2.0,0.0,0.0,VMC,TAKEOFF,"41.368056,-73.493055",Connecticut
20170730X40056,2017-07-29,"Big Bear, CA",Substantial,CESSNA,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"34.2525,-116.84888899999999",California
20170729X21209,2017-07-28,"Waipi'o, HI",Substantial,BEECH,Personal,4.0,0.0,0.0,0.0,VMC,MANEUVERING,"21.427223,-158.084722",Hawaii
20170728X04935,2017-07-27,"Enumclaw, WA",Substantial,CESSNA,Personal,0.0,2.0,1.0,0.0,VMC,LANDING,"47.196389,-122.01472199999999",Washington
20170728X94241,2017-07-27,"Laddonia, MO",Destroyed,ZENITH,Personal,2.0,0.0,0.0,0.0,IMC,CRUISE,"39.334444,-91.685833",Missouri
20170728X85948,2017-07-27,"Oshkosh, WI",Substantial,AEROFAB INC,Personal,2.0,0.0,1.0,0.0,VMC,TAKEOFF,"43.955833,-88.498889",Wisconsin
20170726X61759,2017-07-26,"Ogden, UT",Substantial,BEECH,Personal,4.0,0.0,0.0,0.0,VMC,DESCENT,"41.174723,-112.01888899999999",Utah
20170801X01026,2017-07-25,"Trumann, AR",Substantial,AIR TRACTOR INC,Aerial Application,0.0,1.0,0.0,0.0,IMC,MANEUVERING,"35.619167,-90.568889",Arkansas
20170726X01812,2017-07-25,"Breckenridge, TX",Substantial,HILLARD CHARLIE R,Other Work Use,0.0,2.0,0.0,0.0,VMC,APPROACH,"32.727222999999995,-98.891111",Texas
20170724X15957,2017-07-23,"Farmerville, LA",Substantial,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"32.765833,-92.490277",Louisiana
20170720X43914,2017-07-19,"Ontario, CA",Substantial,ENSTROM,Instructional,0.0,1.0,0.0,0.0,VMC,APPROACH,"33.971389,-117.635277",California
20170719X04527,2017-07-19,"Marydel, DE",Substantial,GRUMMAN,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"39.0,-75.0",Unknown
20170719X32048,2017-07-19,"Towanda, PA",Destroyed,AIRCRAFT MFG & DVLPMT CO,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.718610999999996,-76.46305600000001",Pennsylvania
20170718X61108,2017-07-18,"Pierce, NE",Substantial,PIPER,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"42.226945,-97.684166",Nebraska
20170717X15023,2017-07-17,"Mesa, AZ",Substantial,Evolution 19,Business,2.0,0.0,0.0,0.0,VMC,APPROACH,"33.469167,-111.71305600000001",Arizona
