Event.Id,Event.Date,Location,Aircraft.Damage,Make,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Crash.Location,Crash.Country
20160425X45203,2016-04-25,"Boone, NC",Destroyed,PIPER,Personal,1.0,2.0,0.0,0.0,VMC,TAKEOFF,"36.199444,-81.646666",North Carolina
20160429X25500,2016-04-24,"Carrollton, OH",Substantial,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"40.610833,-80.97444499999999",Ohio
20160421X94028,2016-04-21,"Woodland, WA",Substantial,MOONEY AIRCRAFT CORP.,Personal,1.0,2.0,0.0,0.0,VMC,TAKEOFF,"45.901666999999996,-122.737222",Washington
20160421X93349,2016-04-20,"Chugiak, AK",Substantial,CESSNA,Other Work Use,4.0,0.0,0.0,0.0,VMC,MANEUVERING,"61.388611,-149.561667",Alaska
20160419X41829,2016-04-19,"Stevensville, MD",Substantial,VANS,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"38.975,-76.322223",Maryland
20160420X12955,2016-04-19,"Slidell, LA",Destroyed,BEECH,Public Aircraft - Local,2.0,0.0,0.0,0.0,VMC,APPROACH,"30.360278000000005,-89.823334",Louisiana
20160418X04320,2016-04-18,"Westmoreland, NY",Destroyed,CESSNA,Personal,2.0,0.0,1.0,0.0,VMC,TAKEOFF,"43.113611,-75.422223",New York
20160418X51924,2016-04-18,"Kilbourne, LA",Destroyed,AIR TRACTOR INC,Aerial Application,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"32.999722,-91.315",Louisiana
20160418X20327,2016-04-17,"Avalon, CA",Destroyed,CESSNA,Personal,0.0,2.0,0.0,0.0,VMC,APPROACH,"33.408056,-118.412222",California
20160410X11921,2016-04-10,"Bayport, NY",Substantial,PIPER,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"40.752778,-73.053611",New York
20160409X95427,2016-04-09,"Ocala, FL",Substantial,MOONEY,Personal,1.0,1.0,0.0,0.0,VMC,DESCENT,"29.173889000000003,-82.22416700000001",Florida
20160410X94134,2016-04-09,"Taylor, TX",Destroyed,ROCKWELL,Instructional,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"30.686389000000002,-97.292222",Texas
20160408X72828,2016-04-08,"Midlothian, TX",Substantial,BELLANCA,Instructional,1.0,0.0,1.0,0.0,VMC,TAKEOFF,"32.452778,-96.913333",Texas
20160331X73343,2016-03-31,"Shiprock, NM",Substantial,CESSNA,Personal,0.0,1.0,0.0,1.0,VMC,LANDING,"36.698333,-108.700556",New Mexico
20160403X12259,2016-03-29,"Beyersville, TX",Substantial,AIR TRACTOR,Aerial Application,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"30.503333,-97.239722",Texas
20160326X35043,2016-03-26,"Charleston, WV",Substantial,CESSNA,Instructional,1.0,1.0,0.0,0.0,VMC,TAKEOFF,"38.375834000000005,-81.593055",West Virginia
20160328X31022,2016-03-26,"Stephenville, TX",Substantial,GRUMMAN AMERICAN AVN. CORP.,Personal,0.0,2.0,0.0,0.0,VMC,CRUISE,"32.223889,-98.182778",Texas
20160325X80001,2016-03-23,"Astoria, OR",Destroyed,NORTH AMERICAN,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"46.218889000000004,-123.79666599999999",Oregon
20160322X22134,2016-03-20,"Ellsworth, NE",Destroyed,AERONCA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"42.173056,-102.20916700000001",Nebraska
20160318X22506,2016-03-18,"Tampa, FL",Destroyed,CESSNA,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"27.919722999999998,-82.447777",Florida
20160321X12626,2016-03-18,"Longview, TX",Substantial,GRUMMAN,Personal,0.0,1.0,0.0,0.0,IMC,TAKEOFF,"32.505,-94.69833299999999",Texas
20160313X91203,2016-03-13,"Alpine, WY",Substantial,CESSNA,Personal,4.0,0.0,0.0,0.0,VMC,TAKEOFF,"43.190277,-111.064444",Idaho
20160314X84212,2016-03-13,"South Burlington, VT",Substantial,CESSNA,Personal,0.0,1.0,0.0,1.0,VMC,TAKEOFF,"44.466389,-73.151667",Vermont
20160310X20925,2016-03-09,"Pottstown, PA",Substantial,MOONEY,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"40.239444,-75.556667",Pennsylvania
20160305X80702,2016-03-05,"Queen Creek, AZ",Substantial,NORTH WING,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"33.271667,-111.57361100000001",Arizona
20160302X71038,2016-03-02,"Palm Springs, CA",Substantial,BOEING,Personal,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"33.824445000000004,-116.506667",California
20160228X22433,2016-02-28,"Navasota, TX",Substantial,CIRRUS DESIGN CORP,Personal,4.0,0.0,0.0,0.0,VMC,APPROACH,"30.356389,-96.106667",Texas
20160229X84507,2016-02-27,"Plymouth, MA",Substantial,BEECH,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"41.910278000000005,-70.728889",Massachusetts
20160221X82226,2016-02-20,"Port Jefferson, NY",Substantial,PIPER,Instructional,1.0,0.0,3.0,0.0,VMC,CRUISE,"40.961110999999995,-73.08444399999999",Unknown
20160218X05331,2016-02-18,"Marshville, NC",Substantial,BEECH,Business,1.0,0.0,0.0,0.0,VMC,CRUISE,"35.008611,-80.368611",North Carolina
20160217X10228,2016-02-16,"Bryan, TX",Substantial,CESSNA,Personal,0.0,1.0,2.0,0.0,VMC,CRUISE,"30.773889,-96.454444",Texas
20160216X33929,2016-02-12,"Sturgis, SD",Substantial,PIPER,Personal,0.0,1.0,1.0,0.0,IMC,GO-AROUND,"44.424167,-103.385",South Dakota
20160212X51525,2016-02-12,"Destin, FL",Destroyed,PIPER,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"30.4,-86.471389",Florida
20160210X12541,2016-02-10,"Springville, CA",Destroyed,FLIGHT DESIGN GMBH,Public Aircraft - Local,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"36.094722,-118.87333400000001",California
20160205X35852,2016-02-05,"San Pedro, CA",Substantial,BELLANCA,Personal,3.0,0.0,0.0,0.0,VMC,MANEUVERING,"33.785277,-118.42361100000001",Unknown
20160202X33553,2016-02-01,"Mobile, AL",Destroyed,CESSNA,Positioning,2.0,0.0,0.0,0.0,IMC,GO-AROUND,"30.678611,-88.263611",Alabama
20160201X43119,2016-02-01,"Arcola, TX",Destroyed,COSTRUZIONI AERONAUTICHE TECNA,Instructional,1.0,1.0,0.0,0.0,VMC,TAKEOFF,"29.506944,-95.4775",Texas
20160128X25329,2016-01-28,"Santa Rosa, CA",Substantial,PIPER,Personal,2.0,0.0,0.0,0.0,IMC,APPROACH,"38.478889,-122.78638899999999",California
20160201X51653,2016-01-26,"Xenia, OH",Substantial,CIRRUS DESIGN CORP,Positioning,1.0,0.0,0.0,0.0,VMC,APPROACH,"39.690833000000005,-83.99194399999999",Ohio
20160118X53003,2016-01-18,"Cedar Fort, UT",Destroyed,CESSNA,Personal,2.0,0.0,0.0,0.0,VMC,CLIMB,"40.313889,-112.08083400000001",Utah
20160118X02647,2016-01-17,"Madison, GA",Substantial,CESSNA,Personal,0.0,2.0,0.0,0.0,VMC,CRUISE,"33.425,-83.463889",Georgia
20160115X03332,2016-01-14,"Garden City, TX",Destroyed,PIPER,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"31.964167,-101.658611",Texas
20160115X22543,2016-01-14,"Meeker, CO",Destroyed,BEECH,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"40.052222,-108.27861100000001",Colorado
20160104X35410,2016-01-04,"Alpine, WY",Destroyed,AEROSTAR S A,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"43.204444,-111.071945",Idaho
20160104X84134,2016-01-03,"Wayne, NE",Substantial,CESSNA,Personal,1.0,0.0,0.0,0.0,UNK,DESCENT,"42.167778000000006,-96.846111",Nebraska
20160104X11027,2015-12-29,"Anchorage, AK",Destroyed,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"61.219167000000006,-149.9025",Alaska
20151228X25725,2015-12-27,"Watertown, WI",Substantial,CIRRUS DESIGN CORP,Personal,0.0,1.0,0.0,0.0,VMC,CRUISE,"43.1225,-88.656667",Wisconsin
20151228X02331,2015-12-26,"Nogales, AZ",Substantial,AEROSTAR ACFT CORP OF TEXAS,Personal,0.0,4.0,0.0,0.0,VMC,TAKEOFF,"31.431110999999998,-110.84138899999999",Arizona
20151224X50002,2015-12-24,"Corinth, MS",Substantial,PIPER AIRCRAFT INC,Personal,0.0,2.0,2.0,0.0,VMC,TAKEOFF,"34.902778000000005,-88.598055",Mississippi
20151222X03629,2015-12-22,"Castro Valley, CA",Destroyed,PIPER,Personal,1.0,0.0,0.0,0.0,IMC,GO-AROUND,"37.645,-121.97638899999998",California
20151223X81847,2015-12-22,"Myerstown, PA",Substantial,BEECH,Personal,0.0,4.0,0.0,0.0,IMC,TAKEOFF,"40.352222,-76.329723",Pennsylvania
20151220X51805,2015-12-20,"Winder, GA",Destroyed,BEECH,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"33.935,-83.6025",Georgia
20151224X13918,2015-12-19,"Baytown, TX",Substantial,CESSNA,Personal,0.0,1.0,1.0,0.0,VMC,LANDING,"29.761944,-94.848055",Texas
20151211X62058,2015-12-11,"Farmington, PA",Destroyed,BEECH,Personal,3.0,0.0,0.0,0.0,VMC,APPROACH,"39.813889,-79.53527700000001",Pennsylvania
20151211X65337,2015-12-10,"Council Bluffs, IA",Substantial,PIPER,Personal,1.0,0.0,0.0,0.0,VMC,APPROACH,"41.292221999999995,-95.867223",Iowa
20151206X05007,2015-12-06,"Apple Valley, CA",Destroyed,AERO VODOCHODY,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"34.571945,-117.185",California
20151208X41101,2015-12-06,"Pattonsburg, MO",Destroyed,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"40.1425,-94.368611",Missouri
20151207X11116,2015-12-06,"Keytesville, MO",Substantial,CESSNA,Personal,2.0,0.0,0.0,0.0,IMC,MANEUVERING,"39.541944,-92.898889",Missouri
20151201X30530,2015-12-01,"Opa Locka, FL",Substantial,PIPER,Personal,0.0,3.0,0.0,0.0,VMC,TAKEOFF,"25.897222,-80.089166",Unknown
20151124X61620,2015-11-24,"Lawrenceville, GA",Substantial,PIPER,Instructional,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"33.978056,-83.9625",Georgia
20151121X72704,2015-11-21,"Monroe, NC",Substantial,PHANTOM AERONAUTICS,Personal,0.0,1.0,0.0,0.0,VMC,APPROACH,"35.070834000000005,-80.566389",North Carolina
20151120X31605,2015-11-20,"Orlando, FL",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"28.52,-81.404444",Florida
20151119X00825,2015-11-19,"La Verne, CA",Substantial,CESSNA,Aerial Observation,0.0,1.0,0.0,0.0,VMC,APPROACH,"34.091666,-117.781667",California
20151120X34159,2015-11-19,"North Salem, NY",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,IMC,APPROACH,"41.324723,-73.637222",New York
20151113X82718,2015-11-12,"Lancaster, CA",Substantial,BEECH,Instructional,0.0,2.0,0.0,0.0,VMC,APPROACH,"34.669445,-118.473611",California
20151109X81718,2015-11-09,"Climax, GA",Destroyed,CESSNA,Personal,2.0,0.0,0.0,0.0,IMC,APPROACH,"30.904721999999996,-84.445833",Georgia
20151109X40213,2015-11-09,"Colorado Springs, CO",Destroyed,CIRRUS DESIGN CORP,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"38.830834,-104.718334",Colorado
20151112X41311,2015-11-08,"MIDLAND, VA",Substantial,U-FLY-IT,Personal,0.0,1.0,0.0,0.0,VMC,STANDING,"38.584165999999996,-77.708333",Virginia
20151106X30523,2015-11-06,"Okeechobee, FL",Destroyed,ZENITH,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"27.2075,-80.8425",Florida
20151106X61328,2015-11-06,"Gonzales, LA",Substantial,CESSNA,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"30.240555,-90.915278",Louisiana
20151104X30605,2015-11-04,"Queens, NY",Substantial,FLIGHT DESIGN GMBH,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"40.547222,-73.921389",Unknown
20151029X22502,2015-10-29,"Pottsville, AR",Destroyed,RAYTHEON AIRCRAFT COMPANY,Personal,4.0,0.0,0.0,0.0,IMC,TAKEOFF,"35.265,-93.065278",Arkansas
20151026X43000,2015-10-26,"Weston, FL",Substantial,PIPER,Business,1.0,0.0,1.0,1.0,VMC,APPROACH,"26.058889,-80.434722",Florida
20151024X21235,2015-10-24,"Worcester, MA",Substantial,MOONEY,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"42.261389,-71.869167",Massachusetts
20151021X54209,2015-10-20,"FORT BENTON, MT",Substantial,CESSNA,Personal,0.0,1.0,0.0,0.0,VMC,LANDING,"47.846111,-110.634166",Montana
20151020X94325,2015-10-16,"Lancaster, TX",Destroyed,CIRRUS DESIGN CORP,Personal,0.0,1.0,0.0,1.0,VMC,APPROACH,"32.558889,-96.699722",Texas
20151015X15949,2015-10-15,"Swan Valley, ID",Substantial,AVIAT,Personal,1.0,1.0,0.0,0.0,VMC,CLIMB,"43.223334,-111.06138899999999",Idaho
20151014X92113,2015-10-14,"Missoula, MT",Destroyed,BUCKER JUNGMEISTER,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"46.916389,-114.09055500000001",Montana
20151015X00706,2015-10-14,"Hammond, LA",Destroyed,CESSNA,Business,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"30.521666999999997,-90.418334",Louisiana
20151013X85705,2015-10-13,"Lake Worth, FL",Destroyed,PIPER,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"26.616389,-80.095",Florida
20151013X50647,2015-10-13,"Eaton, CO",Substantial,BEECH,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"40.566111,-104.654444",Colorado
20151011X04515,2015-10-10,"South Lake Tahoe, CA",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,VMC,CLIMB,"38.865833,-119.99805500000001",California
20151010X81206,2015-10-10,"Seville, FL",Substantial,CESSNA,Personal,1.0,2.0,0.0,0.0,VMC,MANEUVERING,"29.343055,-81.451944",Florida
20151010X52624,2015-10-09,"Savannah, GA",Substantial,PIPER,Personal,0.0,2.0,0.0,0.0,VMC,APPROACH,"32.128889,-81.235",Georgia
20151010X62028,2015-10-09,"Erwin, TN",Destroyed,COLUMBIA AIRCRAFT MFG,Personal,2.0,0.0,0.0,0.0,VMC,CRUISE,"36.21,-82.375",Tennessee
20151015X31801,2015-10-09,"Sheridan, WY",Substantial,QUEST,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"44.769166999999996,-106.980278",Wyoming
20151008X02333,2015-10-08,"Jasper, GA",Substantial,PIPER,Instructional,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"34.443055,-84.451667",Georgia
20151008X83112,2015-10-08,"Big Lake, AK",Substantial,CESSNA,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"61.588611,-149.81444399999998",Alaska
20151007X83126,2015-10-07,"Compton, CA",Substantial,PIPER,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"33.89,-118.243889",California
20151007X62129,2015-10-07,"Georgetown, CA",Substantial,SILVAIRE,Personal,0.0,2.0,0.0,0.0,VMC,LANDING,"38.920834,-120.864722",California
20151007X51551,2015-10-07,"Knoxville, TN",Substantial,BEECH,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"35.95,-85.854444",Tennessee
20151005X93607,2015-10-05,"Cedar City, UT",Destroyed,CESSNA,Business,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"37.648333,-113.19861100000001",Utah
20151006X12717,2015-10-05,"Dexter, MO",Substantial,CESSNA,Personal,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"36.766667,-89.967223",Missouri
20151002X84211,2015-10-02,"Westminster, SC",Destroyed,PIPER,Personal,4.0,0.0,0.0,0.0,IMC,DESCENT,"34.598333000000004,-83.1625",South Carolina
20151003X00609,2015-10-02,"Huntsville, TX",Substantial,PIPER,Personal,1.0,0.0,0.0,0.0,VMC,CRUISE,"30.751944,-95.5825",Texas
20150925X54323,2015-09-30,"St. Petersburg, FL",Substantial,PIPER,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"27.919722999999998,-82.689166",Florida
20150928X72825,2015-09-28,"Port Townsend, WA",Substantial,CESSNA,Personal,0.0,2.0,0.0,0.0,VMC,TAKEOFF,"48.065278,-122.84055500000001",Washington
20150928X85210,2015-09-27,"Glenwood Springs, CO",Substantial,CESSNA,Personal,0.0,1.0,1.0,0.0,VMC,CRUISE,"39.49,-107.299722",Colorado
20150927X13810,2015-09-27,"Lexington, TX",Substantial,CESSNA,Skydiving,1.0,0.0,0.0,0.0,VMC,APPROACH,"30.4125,-96.966667",Texas
20150930X85955,2015-09-26,"Fort Wayne, IN",Substantial,CESSNA,Personal,0.0,1.0,0.0,0.0,VMC,CLIMB,"41.021667,85.158333",Xinjiang
20150925X72014,2015-09-25,"Pagosa Springs, CO",Destroyed,BEECH,Personal,2.0,0.0,0.0,0.0,VMC,MANEUVERING,"37.11,-106.57",Colorado
20150923X65755,2015-09-23,"Elko, NV",Substantial,PIPER,Personal,0.0,1.0,1.0,0.0,VMC,TAKEOFF,"40.822223,-115.7775",Nevada
20150923X41349,2015-09-21,"Boise, ID",Substantial,AERO COMMANDER,Personal,0.0,1.0,0.0,0.0,VMC,LANDING,"43.558611,-116.22027800000001",Idaho
